en,ro,description,file,hash
"Non-registered users can post reviews, questions and comments.","Utilizatorii neînregistrați pot posta recenzii, întrebări și comentarii.",,site/modules/Vox/Vox.module.php,05f92a98e0cbfbc086e40a43b1e0941d
"Notification email","E-mail de notificare",,site/modules/Vox/Vox.module.php,d5b501407738a0f21e63ea67ed1d64bf
"Number of comments pre-loaded before ""Show more"".","Numărul de comentarii preîncărcate înainte de „Afișează mai mult”.",,site/modules/Vox/Vox.module.php,3ee54d14846ada5583189a1ea00097c3
"Per user / guest. 0 disables the hourly limit.","Per utilizator / vizitator. 0 dezactivează limita orară.",,site/modules/Vox/Vox.module.php,00a9e9ddef1151690acca5be0275eb98
"Per user / guest. 0 disables the interval limit.","Per utilizator / vizitator. 0 dezactivează limita de interval.",,site/modules/Vox/Vox.module.php,dcebde8b054e63de25661df0690d3a13
"Photo uploads","Încărcări de fotografii",,site/modules/Vox/Vox.module.php,37cda44b7bd96c5513c8afbcdc0211d0
"Points for answering a question","Puncte pentru a răspunde la o întrebare",,site/modules/Vox/Vox.module.php,f80c49df6277a81c7c4eddbdc8fe9cb9
"Points for posting a review / thread / question","Puncte pentru postarea unei recenzii / subiect / întrebări",,site/modules/Vox/Vox.module.php,a580c2f15c384b12f69f4db5c12df795
"Points per like received","Puncte pentru fiecare apreciere primită",,site/modules/Vox/Vox.module.php,7dc75b91cc90b430ed42a93b3d5c4201
"Points when answer is marked best","Puncte când răspunsul este marcat ca fiind cel mai bun",,site/modules/Vox/Vox.module.php,d518bc1248f1277575bfb0a3768041fa
"Receive alerts for new pending entries and reports. Leave blank to disable.","Primește alerte pentru intrările noi în așteptare și raportări. Lăsați necompletat pentru a dezactiva.",,site/modules/Vox/Vox.module.php,cd42bcc9bd78b09ba6061cc618df08c9
"Relative to site root. Directory will be created if it doesn't exist.","Relativ la rădăcina site-ului. Directorul va fi creat dacă nu există.",,site/modules/Vox/Vox.module.php,6bf59cc76b24562f9ced838164ddae82
"Require approval","Necesită aprobare",,site/modules/Vox/Vox.module.php,b7490f1303f1cf4ea53fa18416951173
"Require email from guests","Solicită e-mail de la vizitatori",,site/modules/Vox/Vox.module.php,5fb33d2a14c0668bccefa2afd55de6d5
"Sidebar — floats beside active block","Bară laterală — plutește lângă blocul activ",,site/modules/Vox/Vox.module.php,18275cd447efd34ad421898af67c9b99
"Upload path","Cale de încărcare",,site/modules/Vox/Vox.module.php,afec020c0ca660ca0b0277509d191888
"Users can attach images to reviews and questions.","Utilizatorii pot atașa imagini la recenzii și întrebări.",,site/modules/Vox/Vox.module.php,41d664be6304a08773f0e0b6d4ab6e3e
"Vote mode","Mod de votare",,site/modules/Vox/Vox.module.php,2f6173a5d99acc9e8a341230184e95aa
Voting,Votare,,site/modules/Vox/Vox.module.php,b6fb89142b836f54bb0062e2bdce2e49
Vox,Vox,,site/modules/Vox/ProcessVox.module.php,baf069ea8ce565674e2bff0c0f0a069a
Yes,Da,,site/modules/Vox/Vox.module.php,93cba07454f06a4a960172bbd6e2a435
"You do not have permission to access this page.","Nu aveți permisiunea de a accesa această pagină.",,site/modules/Vox/ProcessVox.module.php,d9bce6556723f03d444fc08de3ccb4db
